date,value,unit,source,frequency,notes
2012-06-01,1890.18,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-07-01,1876.25,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-08-01,1845.38,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-09-01,2064.12,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-10-01,1974.3,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-11-01,1948.83,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-12-01,2086.76,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-01-01,2037.75,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-02-01,2053.59,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-03-01,1909.57,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-04-01,1861.67,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-05-01,1832.02,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-06-01,1814.54,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-07-01,1769.61,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-08-01,1817.62,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-09-01,1761.3,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-10-01,1814.58,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-11-01,1747.96,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2013-12-01,1739.81,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-01-01,1727.41,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-02-01,1695.17,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-03-01,1705.37,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-04-01,1810.67,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-05-01,1751.05,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-06-01,1838.95,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-07-01,1948.3,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-08-01,2030.49,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-09-01,1990.43,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-10-01,1946.19,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-11-01,2055.55,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2014-12-01,1909.46,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-01-01,1814.72,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-02-01,1817.82,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-03-01,1773.86,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-04-01,1819.19,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-05-01,1804.04,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-06-01,1687.73,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-07-01,1639.5,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-08-01,1548.13,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-09-01,1589.6,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-10-01,1516.49,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-11-01,1467.89,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2015-12-01,1497.2,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-01-01,1481.1,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-02-01,1531.26,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-03-01,1531.01,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-04-01,1571.23,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-05-01,1550.63,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-06-01,1593.51,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-07-01,1629.05,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-08-01,1639.28,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-09-01,1592.36,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-10-01,1665.9,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-11-01,1737.11,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2016-12-01,1727.74,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-01-01,1791.24,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-02-01,1860.75,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-03-01,1901.47,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-04-01,1921.22,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-05-01,1913.02,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-06-01,1885.29,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-07-01,1902.96,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-08-01,2030.01,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-09-01,2096.49,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-10-01,2131.49,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-11-01,2097.44,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2017-12-01,2080.47,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-01-01,2209.73,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-02-01,2181.79,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-03-01,2069.24,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-04-01,2254.69,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-05-01,2299.67,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-06-01,2237.62,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-07-01,2082.24,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-08-01,2051.51,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-09-01,2026.46,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-10-01,2029.86,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-11-01,1938.51,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2018-12-01,1920.38,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-01-01,1853.72,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-02-01,1862.99,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-03-01,1871.21,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-04-01,1845.42,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-05-01,1781.26,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-06-01,1755.95,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-07-01,1796.99,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-08-01,1740.68,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-09-01,1753.51,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-10-01,1725.96,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-11-01,1774.79,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2019-12-01,1771.38,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2020-01-01,1773.09,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2020-02-01,1688.1,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2020-03-01,1610.89,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2020-04-01,1459.93,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
